ID	adj.Pval	P.Value	t	B	logFC	Gene.symbol	Gene.title
ENSG00000163507	0.0253195519318803	2.86595220219669e-06	7.17585661124388	4.6029571515988	0.349408848936428	CIP2A	cellular inhibitor of PP2A [Source:HGNC Symbol;Acc:HGNC:29302]
ENSG00000166960	0.0253195519318803	5.66940258214963e-06	6.77394697992754	4.0246836734569	0.436275267374747	CCDC178	coiled-coil domain containing 178 [Source:HGNC Symbol;Acc:HGNC:29588]
ENSG00000224315	0.0253195519318803	5.3677001088246e-06	6.80569514963522	4.07134888768481	0.356967715290653	RPL7P7	ribosomal protein L7 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:36895]
ENSG00000234345	0.0253195519318803	4.95773316467051e-06	6.85196492300612	4.13905478968767	0.602211747043251	ELF2P1	ELF2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33539]
ENSG00000248019	0.02538321577316	7.10457226073667e-06	6.643773512948	3.83156914311478	0.32057779475025	FAM13A-AS1	FAM13A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:19370]
ENSG00000099260	0.0263286548972055	3.38982905640241e-05	5.77658598331913	2.47202547778131	0.53349744892235	PALMD	palmdelphin [Source:HGNC Symbol;Acc:HGNC:15846]
ENSG00000128833	0.0263286548972055	9.79066292877265e-06	6.46103698929496	3.55564071880071	0.249040896982849	MYO5C	myosin VC [Source:HGNC Symbol;Acc:HGNC:7604]
ENSG00000134042	0.0263286548972055	3.17730054625252e-05	-5.81141735671076	2.52906242251002	-0.505396991347276	MRO	maestro [Source:HGNC Symbol;Acc:HGNC:24121]
ENSG00000139631	0.0263286548972055	1.74997724115102e-05	6.13655656079146	3.05174906052248	0.331560461871486	CSAD	cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:HGNC:18966]
ENSG00000142549	0.0263286548972055	1.84291264704244e-05	-6.10803283306506	3.00660357731604	-0.373235405957065	IGLON5	IgLON family member 5 [Source:HGNC Symbol;Acc:HGNC:34550]
ENSG00000147955	0.0263286548972055	3.24763913384318e-05	-5.799628179518	2.50977985041693	-0.22720962733579	SIGMAR1	sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:8157]
ENSG00000155886	0.0263286548972055	2.44994352674901e-05	-5.95217050335797	2.75750142552725	-0.425701043113651	SLC24A2	solute carrier family 24 member 2 [Source:HGNC Symbol;Acc:HGNC:10976]
ENSG00000163449	0.0263286548972055	2.07015850648985e-05	-6.04415882785072	2.90501163330133	-0.235690506634661	TMEM169	transmembrane protein 169 [Source:HGNC Symbol;Acc:HGNC:25130]
ENSG00000186314	0.0263286548972055	1.41811557753602e-05	6.25310881962762	3.23479451748258	0.417354762165667	PRELID2	PRELI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28306]
ENSG00000186919	0.0263286548972055	3.33608556950878e-05	5.78517506458367	2.48610881596159	0.758364524825155	ZACN	zinc activated ion channel [Source:HGNC Symbol;Acc:HGNC:29504]
ENSG00000197182	0.0263286548972055	2.96603771090224e-05	5.84852871402294	2.58961241212305	0.274546800389867	MIRLET7BHG	MIRLET7B host gene [Source:HGNC Symbol;Acc:HGNC:37189]
ENSG00000200823	0.0263286548972055	2.53560319193728e-05	5.93347942593957	2.72735595923441	0.7450430784457	SNORD114-2	small nucleolar RNA, C/D box 114-2 [Source:HGNC Symbol;Acc:HGNC:32990]
ENSG00000212384	0.0263286548972055	1.23435215176445e-05	-6.33060778687692	3.35523599226612	-0.549748633706755	SNORD113-2	small nucleolar RNA, C/D box 113-2 [Source:HGNC Symbol;Acc:HGNC:32981]
ENSG00000223874	0.0263286548972055	2.51618641877539e-05	5.93765800056251	2.73410033303359	0.424015119195665	LINC01921	long intergenic non-protein coding RNA 1921 [Source:HGNC Symbol;Acc:HGNC:52740]
ENSG00000250722	0.0263286548972055	2.03608530963232e-05	-6.05325670506295	2.91952371646281	-0.302378964174663	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]
ENSG00000266524	0.0263286548972055	1.96009222116303e-05	-6.07413201775277	2.95276953230245	-0.606647863883511	GDF10	growth differentiation factor 10 [Source:HGNC Symbol;Acc:HGNC:4215]
ENSG00000278983	0.0263286548972055	2.76786826423845e-05	-5.88592790907219	2.65040120868553	-0.5603399531431		TEC
ENSG00000279738	0.0263286548972055	2.28116406124485e-05	5.99107492707605	2.82006041990995	0.547375881182139		novel transcript, sense overlapping to EIF3L
ENSG00000120889	0.0284120924909769	3.9384276051878e-05	5.69622728328999	2.33967607422595	0.348574259133347	TNFRSF10B	TNF receptor superfamily member 10b [Source:HGNC Symbol;Acc:HGNC:11905]
ENSG00000273148	0.0284120924909769	3.976166100954e-05	5.69113409002898	2.33125205046137	0.301146187748864	LINC00653	long intergenic non-protein coding RNA 653 [Source:HGNC Symbol;Acc:HGNC:44308]
ENSG00000007392	0.0291193755199403	4.23815362471142e-05	5.65710270689013	2.27485642903346	0.179438809991967	LUC7L	LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]
ENSG00000206530	0.0341218921413388	5.1572497078826e-05	5.55293566526875	2.10106810949991	0.294117985443561	CFAP44	cilia and flagella associated protein 44 [Source:HGNC Symbol;Acc:HGNC:25631]
ENSG00000039139	0.0341551926563443	5.35347847278123e-05	5.53320306440712	2.06795026809511	0.359754574984423	DNAH5	dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]
ENSG00000262155	0.0350259685238104	5.68603385126791e-05	5.50141450443775	2.01446771842093	0.428502805597913	LINC02175	long intergenic non-protein coding RNA 2175 [Source:HGNC Symbol;Acc:HGNC:27550]
ENSG00000111885	0.0353413606693859	6.26593169952648e-05	5.45033641385964	1.92819527262085	0.384027576098554	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]
ENSG00000166927	0.0353413606693859	6.05407271954054e-05	5.46840678531565	1.95876390499041	0.430359102245742	MS4A7	membrane spanning 4-domains A7 [Source:HGNC Symbol;Acc:HGNC:13378]
ENSG00000168993	0.0353413606693859	6.33074082747621e-05	-5.44493480626151	1.91904766916051	-0.56128533360034	CPLX1	complexin 1 [Source:HGNC Symbol;Acc:HGNC:2309]
ENSG00000133027	0.0375828291863589	6.94264085954905e-05	-5.39659003865315	1.83697173408032	-0.351586978762128	PEMT	phosphatidylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:8830]
