ID	adj.Pval	P.Value	t	B	logFC	Gene.symbol	Gene.title
ENSG00000000003	0.997780499730714	0.988976483283488	0.0140601170206525	-5.90218778690449	0.00105845825211581	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]
ENSG00000000419	0.922240332724726	0.656082731287117	0.454806550627627	-5.80051365002301	0.030936677333119	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]
ENSG00000000457	0.696548341425205	0.165652710257738	1.46102188101741	-4.92111382477078	0.0605494766725982	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]
ENSG00000000460	0.87671850158097	0.488758146122819	0.710621433138723	-5.65654118212358	0.0587321894895525	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000000938	0.720228301254204	0.194707012565923	1.36064317607412	-5.04311442399941	0.136613224381293	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]
ENSG00000000971	0.387594938156751	0.0155898312698292	2.74430287495058	-2.95553439820719	0.348724446592145	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]
ENSG00000001036	0.827790528308734	0.354728245332216	-0.956496337900496	-5.46361074508141	-0.0560001811590731	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]
ENSG00000001084	0.743393130083525	0.224396255293807	-1.26995387322684	-5.14768603885666	-0.0821474793496426	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]
ENSG00000001167	0.961342777912571	0.80734736755602	-0.248416675063016	-5.87175861334894	-0.0148618942150485	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]
ENSG00000001460	0.874032490168733	0.479295564073275	-0.72645241018951	-5.64568318358227	-0.0493715624917557	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]
ENSG00000001461	0.992821208240944	0.963152666288313	-0.0470143765993654	-5.9011899434476	-0.00304701341840641	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000001497	0.818564933433333	0.340049603557673	-0.987031624416472	-5.43614304227693	-0.0497662332273707	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]
ENSG00000001561	0.960377142730538	0.802403274998054	-0.254939347043209	-5.87013841379218	-0.0144078440142854	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]
ENSG00000001617	0.753288948935889	0.241176813843651	-1.22284770078926	-5.19978248043503	-0.279344503598098	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]
ENSG00000001626	0.854847402145976	0.431040041373631	-0.810333984674398	-5.58449626529731	-0.220368561738897	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]
ENSG00000001629	0.912437765363724	0.625695602742653	-0.498533254927097	-5.78019234518188	-0.0227114643903503	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]
ENSG00000001630	0.189562555118354	0.00133624868502018	3.97341356553027	-0.807607261014181	0.602208888895246	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]
ENSG00000001631	0.993965301401004	0.974144227873705	0.032983384681302	-5.90174641461645	0.00181161681516873	KRIT1	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]
