ID	adj.Pval	P.Value	t	B	logFC	Gene.symbol	Gene.title
ENSG00000259915	0.00388494915813133	2.09476391573996e-07	-8.25259556989252	6.82595337685822	-0.598071950340002		novel transcript
ENSG00000212747	0.0089014481725225	1.43989779561994e-06	-7.16029122582203	5.21185203800116	-0.460807297811679	RTL8B	retrotransposon Gag like 8B [Source:HGNC Symbol;Acc:HGNC:33156]
ENSG00000260625	0.0089014481725225	1.07324125559248e-06	-7.32117492232605	5.46191549128942	-0.663106436521158		novel transcript, antisense to C16orf58
ENSG00000157895	0.0116087366691254	2.50377152359008e-06	6.86250739880584	4.73757062066737	0.322260430560005	C12orf43	chromosome 12 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:25719]
ENSG00000122490	0.0136194776857689	3.67181000910409e-06	6.66012043614247	4.40673495543118	0.34440927138672	SLC66A2	solute carrier family 66 member 2 [Source:HGNC Symbol;Acc:HGNC:26188]
ENSG00000064961	0.0200714097554366	6.49350040615873e-06	6.36407215524149	3.91044932327768	0.354854393907202	HMG20B	high mobility group 20B [Source:HGNC Symbol;Acc:HGNC:5002]
ENSG00000167693	0.0212353308329951	9.16006937689856e-06	6.18832481782283	3.60895374988367	0.542880011010914	NXN	nucleoredoxin [Source:HGNC Symbol;Acc:HGNC:18008]
ENSG00000284602	0.0212353308329951	8.02415756213706e-06	-6.25570477981826	3.72514556553043	-0.457628562705583		novel transcript
ENSG00000070526	0.0212799932455245	1.26215855548781e-05	6.02644638560438	3.32677854865582	0.592518333018321	ST6GALNAC1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23614]
ENSG00000156253	0.0212799932455245	1.24941169401988e-05	6.03154562625022	3.33573195390496	0.342434725333041	RWDD2B	RWD domain containing 2B [Source:HGNC Symbol;Acc:HGNC:1302]
ENSG00000180525	0.0212799932455245	1.13156145004463e-05	-6.08140741290122	3.42305962787134	-1.07613749199452	DIP2C-AS1	DIP2C antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:30724]
ENSG00000204352	0.022831518453478	1.47729009728101e-05	5.94760089102138	3.18780762349147	0.581176962939898	C9orf129	chromosome 9 open reading frame 129 [Source:HGNC Symbol;Acc:HGNC:31116]
ENSG00000277224	0.0239602797243287	1.67951923011039e-05	5.8836269860363	3.0743195987988	0.366156491212063	H2BC7	H2B clustered histone 7 [Source:HGNC Symbol;Acc:HGNC:4752]
ENSG00000278863	0.0255394258912693	1.92791956474587e-05	-5.81514190196424	2.95211151535339	-0.60151300689048		TEC
ENSG00000170779	0.0301795558841679	2.76341276993974e-05	5.63777209580555	2.63221101416488	0.458394806775976	CDCA4	cell division cycle associated 4 [Source:HGNC Symbol;Acc:HGNC:14625]
ENSG00000230606	0.0301795558841679	2.63474922150977e-05	5.66114919312708	2.67464999560104	0.448878102490743		novel transcript
ENSG00000231890	0.0301795558841679	2.76637792532543e-05	-5.6372466607379	2.63125618094332	-0.657923695375742	DARS1-AS1	DARS1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40170]
ENSG00000108175	0.0311943839327147	3.42635598307747e-05	-5.53275190936901	2.44053973660995	-0.295820902443203	ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]
ENSG00000130204	0.0311943839327147	3.53220135116471e-05	5.51794632968524	2.41338584745321	0.43188676666861	TOMM40	translocase of outer mitochondrial membrane 40 [Source:HGNC Symbol;Acc:HGNC:18001]
ENSG00000160593	0.0311943839327147	3.38309133303926e-05	5.53893973344174	2.45187877664339	1.13130167995439	JAML	junction adhesion molecule like [Source:HGNC Symbol;Acc:HGNC:19084]
ENSG00000214198	0.0311943839327147	3.28109917484544e-05	-5.55385523548457	2.47918770274468	-0.372432224537778	TTC41P	tetratricopeptide repeat domain 41, pseudogene [Source:HGNC Symbol;Acc:HGNC:49210]
ENSG00000066185	0.0329351720882292	3.97906125133071e-05	-5.46009971268447	2.30698412726395	-0.618036164967605	ZMYND12	zinc finger MYND-type containing 12 [Source:HGNC Symbol;Acc:HGNC:21192]
ENSG00000254858	0.0329351720882292	4.26207338573009e-05	-5.42682323050563	2.24555500633699	-0.394495555953284	MPV17L2	MPV17 mitochondrial inner membrane protein like 2 [Source:HGNC Symbol;Acc:HGNC:28177]
ENSG00000271327	0.0329351720882292	4.1044336947026e-05	-5.44506772083785	2.27925461213237	-0.353994744336961		novel transcript
ENSG00000005379	0.0342845957412401	7.10264876538169e-05	5.18142381072531	1.7877120426383	0.24911760011363	TSPOAP1	TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]
ENSG00000068438	0.0342845957412401	6.61416202584443e-05	5.21546416348369	1.8517164455633	0.212120214014695	FTSJ1	FtsJ RNA 2'-O-methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:13254]
ENSG00000085721	0.0342845957412401	7.09304809369536e-05	5.18206941979721	1.78892739142546	0.276561457125391	RRN3	RRN3 homolog, RNA polymerase I transcription factor [Source:HGNC Symbol;Acc:HGNC:30346]
ENSG00000093217	0.0342845957412401	8.77220437750759e-05	-5.08092148219204	1.59785008582426	-0.441670256209438	XYLB	xylulokinase [Source:HGNC Symbol;Acc:HGNC:12839]
