ID	adj.Pval	P.Value	t	B	logFC	Gene.symbol	Gene.title
ENSG00000000003	0.78445201933735	0.421205944730276	0.821359207248944	-5.40006959065753	0.0856352651859686	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]
ENSG00000000419	0.965149192945065	0.866456884324589	-0.170354902799066	-5.69690504146821	-0.017485976203512	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]
ENSG00000000457	0.624300425741516	0.190991090222368	1.35391722588937	-4.89260224939298	0.110778853763673	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]
ENSG00000000460	0.416208140845228	0.0319703789456389	-2.30710632214078	-3.5302180378132	-0.18598595780838	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000000938	0.990727159506443	0.968328928191643	-0.0402084870043344	-5.70974049924749	-0.00476004635666083	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]
ENSG00000000971	0.964851092234898	0.863761725690478	-0.173829198668462	-5.69634540321604	-0.0367931779799147	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]
ENSG00000001036	0.961451134048592	0.854503254060237	-0.185781245875408	-5.69433419115636	-0.0223527405991497	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]
ENSG00000001084	0.846364578680851	0.547853532986533	0.611440141659776	-5.53704773695705	0.0581142344511347	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]
ENSG00000001167	0.851984029623334	0.559263122200284	0.59394533490734	-5.54673642424808	0.0515057546612692	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]
ENSG00000001460	0.726144473108047	0.327955390463805	1.00297177103902	-5.25173802712472	0.0792259806698103	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]
ENSG00000001461	0.945681677458535	0.79661594012461	0.261220405075376	-5.67857154095692	0.0221190396233393	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000001497	0.935698990451481	0.76724745948525	0.300068444220225	-5.66839482945215	0.0284582982396087	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]
ENSG00000001561	0.912551307223983	0.705575894243104	0.383298859855079	-5.64190746397994	0.0317279543697788	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]
ENSG00000001617	0.944283510149418	0.791040502401958	0.268561969684645	-5.67675537923999	0.0463660771371823	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]
ENSG00000001626	0.345594007994227	0.01072648715404	-2.81613402757353	-2.64480515557615	-0.527462622566957	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]
ENSG00000001629	0.964438233388706	0.86104754013656	-0.177330247481897	-5.69577006537189	-0.0129461055160913	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]
ENSG00000001630	0.957146608811976	0.83831133259106	-0.206752109059412	-5.69048362609702	-0.0399279037227414	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]
ENSG00000001631	0.735590693155285	0.342016439494529	0.973527246413356	-5.27760204041923	0.0615492941363991	KRIT1	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]
ENSG00000002016	0.383906996151085	0.0188443425869041	-2.55758603555446	-3.10412059369086	-0.232478455131719	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]
ENSG00000002079	0.919836178687947	0.726336734808101	-0.355000163442404	-5.65162748427006	-0.0488643518927971	MYH16	myosin heavy chain 16 pseudogene [Source:HGNC Symbol;Acc:HGNC:31038]
ENSG00000002330	0.45926848219853	0.0506798340544929	-2.08030717649538	-3.89590055361085	-0.271160901633731	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]
ENSG00000002549	0.980270929846849	0.920297666735089	-0.101340550642377	-5.7056854190875	-0.00909702021928283	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]
ENSG00000002586	0.624751070998059	0.193685908120436	-1.34537520287192	-4.90240509375968	-0.33221846569788	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]
ENSG00000002587	0.760161767829163	0.380592907281802	0.896780719016428	-5.34173992395262	0.0738718639323901	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]
ENSG00000002745	0.672799755460187	0.258761210763033	-1.16267491796997	-5.09966996481503	-0.164726829805762	WNT16	Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]
ENSG00000002746	0.825145553887339	0.499431976877933	0.687982643278316	-5.49150195309781	0.0800562708265797	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]
ENSG00000002822	0.92238823555369	0.733054535057403	-0.345907556946826	-5.65459468067493	-0.0266609056792131	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]
ENSG00000002834	0.986264180838213	0.944878241961853	-0.0700209097580536	-5.70820027759738	-0.00564035513794181	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]
ENSG00000002919	0.39597177969883	0.0221667722371186	2.48157667301266	-3.23560848533988	0.170593521529211	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]
ENSG00000002933	0.715617205968122	0.314208157054052	-1.03262479191694	-5.22499680016171	-0.253399365028999	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]
