ID	adj.Pval	P.Value	t	B	logFC	Gene.symbol	Gene.title
ENSG00000259250	0.0020189387207756	1.05224303996227e-07	-8.11131807446651	7.5878724768148	-0.57808360465193		novel transcript, antisense to ADAM10
ENSG00000167553	0.00644732934393878	1.00807776264222e-06	-6.96456241196763	5.61440368768455	-1.94952309609205	TUBA1C	tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768]
ENSG00000253953	0.00644732934393878	8.55435452419879e-07	7.04495766993886	5.75975847072252	0.671818797065773	PCDHGB4	protocadherin gamma subfamily B, 4 [Source:HGNC Symbol;Acc:HGNC:8711]
ENSG00000005339	0.0140281971406754	7.71255246778096e-05	4.96854961566365	1.69290629577086	0.348570011586862	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]
ENSG00000006611	0.0140281971406754	1.91489475724418e-05	-5.58695302087127	2.9664972036286	-0.61128777784386	USH1C	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]
ENSG00000020256	0.0140281971406754	7.43979029672769e-05	4.98433702575214	1.72593088043232	0.334049027323938	ZFP64	ZFP64 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:15940]
ENSG00000040275	0.0140281971406754	8.35258316600932e-05	-4.93362611464937	1.61977059672684	-0.418797890409039	SPDL1	spindle apparatus coiled-coil protein 1 [Source:HGNC Symbol;Acc:HGNC:26010]
ENSG00000049618	0.0140281971406754	7.04386263769222e-05	5.00833177149035	1.77607888095095	0.360655657335148	ARID1B	AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]
ENSG00000067334	0.0140281971406754	9.26152879416365e-05	-4.88843663460632	1.52497389807988	-0.334579895996294	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]
ENSG00000070476	0.0140281971406754	1.46464395900989e-05	5.70799210168224	3.21033158660433	0.369075358415915	ZXDC	ZXD family zinc finger C [Source:HGNC Symbol;Acc:HGNC:28160]
ENSG00000077514	0.0140281971406754	7.37388463936407e-05	-4.98823981682648	1.73409125958572	-0.310700668177963	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]
ENSG00000079263	0.0140281971406754	3.06410239111085e-05	-5.3764051436615	2.53784297242485	-0.557868340193593	SP140	SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]
ENSG00000083896	0.0140281971406754	6.99314253503544e-05	-5.01150420286714	1.78270502318118	-0.289294946529723	YTHDC1	YTH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30626]
ENSG00000088038	0.0140281971406754	7.49893195813599e-05	4.98086456438313	1.718669078196	0.280530434394102	CNOT3	CCR4-NOT transcription complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7879]
ENSG00000090316	0.0140281971406754	7.23428394135912e-05	4.99662502264018	1.75161909655873	0.253603824863363	MAEA	macrophage erythroblast attacher, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:13731]
ENSG00000091157	0.0140281971406754	7.86422341578865e-05	4.96001447505331	1.67504258538428	0.28387993042163	WDR7	WD repeat domain 7 [Source:HGNC Symbol;Acc:HGNC:13490]
ENSG00000100263	0.0140281971406754	4.68377929146156e-05	-5.1880667162399	2.1498942324699	-0.371646124710329	RHBDD3	rhomboid domain containing 3 [Source:HGNC Symbol;Acc:HGNC:1308]
ENSG00000100941	0.0140281971406754	2.51157040059637e-05	-5.46520839577416	2.7193137087793	-0.351680183659584	PNN	pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]
ENSG00000104218	0.0140281971406754	8.27110582030391e-05	-4.93791804718791	1.62876460849013	-0.336344901047543	CSPP1	centrosome and spindle pole associated protein 1 [Source:HGNC Symbol;Acc:HGNC:26193]
ENSG00000104427	0.0140281971406754	6.4946645604276e-05	-5.0439884537143	1.85049766366134	-0.289162549588332	ZC2HC1A	zinc finger C2HC-type containing 1A [Source:HGNC Symbol;Acc:HGNC:24277]
ENSG00000107581	0.0140281971406754	7.5516646839038e-05	-4.9777917770222	1.71224215409835	-0.305914658453989	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]
ENSG00000110218	0.0140281971406754	7.64908165308025e-05	4.97217208461416	1.700485940563	0.453276844613071	PANX1	pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]
ENSG00000111540	0.0140281971406754	5.38269908403248e-05	5.12666160303864	2.02255709911372	0.383443432355071	RAB5B	RAB5B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9784]
ENSG00000111860	0.0140281971406754	6.4968742174216e-05	-5.04383893482806	1.85018586293456	-0.442396662451992	CEP85L	centrosomal protein 85 like [Source:HGNC Symbol;Acc:HGNC:21638]
ENSG00000123200	0.0140281971406754	8.1868357206183e-05	-4.94240248065346	1.63816024095553	-0.372150665357184	ZC3H13	zinc finger CCCH-type containing 13 [Source:HGNC Symbol;Acc:HGNC:20368]
ENSG00000124422	0.0140281971406754	9.33842404733676e-05	4.88482245817842	1.51738451433099	0.340899055000127	USP22	ubiquitin specific peptidase 22 [Source:HGNC Symbol;Acc:HGNC:12621]
ENSG00000126653	0.0140281971406754	4.7035416131171e-05	-5.18620557738616	2.14604067984663	-0.442389994137229	NSRP1	nuclear speckle splicing regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:25305]
ENSG00000126785	0.0140281971406754	1.60986776261341e-05	-5.66521705502732	3.1243842258565	-0.39320202243505	RHOJ	ras homolog family member J [Source:HGNC Symbol;Acc:HGNC:688]
ENSG00000128655	0.0140281971406754	5.6742447009275e-06	-6.14258793997222	4.06898026450421	-0.542551667288588	PDE11A	phosphodiesterase 11A [Source:HGNC Symbol;Acc:HGNC:8773]
ENSG00000130701	0.0140281971406754	8.56572944567878e-05	-4.92259627247829	1.59664929057086	-1.50498381159622	RBBP8NL	RBBP8 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16144]
ENSG00000131013	0.0140281971406754	6.4863123528905e-05	-5.04455408258266	1.85167718364921	-0.368302718177217	PPIL4	peptidylprolyl isomerase like 4 [Source:HGNC Symbol;Acc:HGNC:15702]
ENSG00000132405	0.0140281971406754	3.09060536803002e-05	5.3725671616954	2.52997842162895	0.527178632242401	TBC1D14	TBC1 domain family member 14 [Source:HGNC Symbol;Acc:HGNC:29246]
ENSG00000132780	0.0140281971406754	5.583285997151e-05	-5.11053346197049	1.98904594587866	-0.250425831720321	NASP	nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]
ENSG00000134013	0.0140281971406754	9.31877096463948e-05	-4.88574329856525	1.51931828734832	-0.447518614790986	LOXL2	lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]
ENSG00000135299	0.0140281971406754	8.78271128184547e-05	4.91165044939287	1.57369339785745	0.396901644342255	ANKRD6	ankyrin repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:17280]
ENSG00000135315	0.0140281971406754	4.74778355340424e-05	-5.18206774542569	2.13747181116834	-0.375396936189119	CEP162	centrosomal protein 162 [Source:HGNC Symbol;Acc:HGNC:21107]
ENSG00000135951	0.0140281971406754	2.97818351618396e-05	-5.38908438264241	2.56381190448115	-0.394524878951501	TSGA10	testis specific 10 [Source:HGNC Symbol;Acc:HGNC:14927]
ENSG00000137776	0.0140281971406754	7.00171622835888e-05	-5.01096629846264	1.78158158975302	-0.374407102856257	SLTM	SAFB like transcription modulator [Source:HGNC Symbol;Acc:HGNC:20709]
