"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"APP"	0.000119431860028623	1.0057419791884e-08	-5.97808113494619	9.6299654889334	-0.17285808878953	"APP"	"APP"
"PID1"	0.00331946306049356	5.59067462819967e-07	5.17050450532877	5.80276904038403	0.104839007859268	"PID1"	"PID1"
"TARBP1"	0.00803164880256261	2.08232355300431e-06	-4.88669727385339	4.55724249061976	-0.107766590804607	"TARBP1"	"TARBP1"
"HBS1L"	0.00803164880256261	2.70539749138951e-06	-4.82878860280665	4.30984175106583	-0.123889386636357	"HBS1L"	"HBS1L"
"BPI"	0.0222417192527667	9.36493442221755e-06	4.54688787855678	3.1391074637893	0.059477540646091	"BPI"	"BPI"
"RASGRF1"	0.0375100151278526	1.89524286961782e-05	-4.38099372355071	2.47683627238376	-0.146792910654155	"RASGRF1"	"RASGRF1"
"CORO2B"	0.0415102655608897	2.4469209172735e-05	-4.31971253813529	2.23731019544462	-0.0729422615433457	"CORO2B"	"CORO2B"
"PLK2"	0.0496341930478535	3.52691371538841e-05	-4.23087419126992	1.8950420085939	-0.1295249048289	"PLK2"	"PLK2"
"PRPH2"	0.0496341930478535	3.76174936783732e-05	4.21506541813463	1.83475616943634	0.0869890771562752	"PRPH2"	"PRPH2"
"HTATIP2"	0.0620618598528634	5.22626188234639e-05	4.13372238450418	1.52754767037689	0.0579826777611137	"HTATIP2"	"HTATIP2"
"SNAP25"	0.0660977790351331	6.62212889194006e-05	-4.07440836826006	1.30671165858298	-0.115984649492027	"SNAP25"	"SNAP25"
"ASNS"	0.0660977790351331	6.67935451302397e-05	-4.07224014312978	1.2986900292434	-0.105696271011525	"ASNS"	"ASNS"
"KCNN2"	0.0721868723594715	8.41490278297016e-05	-4.01370539413368	1.08350010462479	-0.0863266039344802	"KCNN2"	"KCNN2"
"HIST1H4C"	0.0721868723594715	8.6352048497534e-05	4.00711620053725	1.05944193628091	0.206305722631282	"HIST1H4C"	"HIST1H4C"
"UNC13A"	0.0721868723594715	9.11834177172271e-05	3.99320868693066	1.0087737537766	0.0887427282594078	"UNC13A"	"UNC13A"
"TM2D3"	0.0731291066786653	0.000101447572750607	-3.96585187687827	0.909544437543764	-0.0737230101703283	"TM2D3"	"TM2D3"
"RAB4A"	0.0731291066786653	0.000117541681582264	3.92785064240602	0.772671342980424	0.0547130900342729	"RAB4A"	"RAB4A"
"TAGLN3"	0.0731291066786653	0.000122527586592931	-3.91707903807087	0.734079041762001	-0.0937135466328871	"TAGLN3"	"TAGLN3"
"MLLT11"	0.0731291066786653	0.000135236972106013	-3.89139878594297	0.642438531892921	-0.0733515400827831	"MLLT11"	"MLLT11"
"CITED2"	0.0731291066786653	0.000143504918075166	-3.87589591106645	0.587366480920149	-0.0954951725368028	"CITED2"	"CITED2"
"HPSE2"	0.0731291066786653	0.000145395556998085	-3.87247011927787	0.575222241771447	-0.0792829780836355	"HPSE2"	"HPSE2"
"ATP2A2"	0.0731291066786653	0.000145712674315016	-3.87189965255436	0.573200865212843	-0.0669419181133493	"ATP2A2"	"ATP2A2"
"BCAP31"	0.0731291066786653	0.000147203890641412	3.86923277464282	0.563754514888437	0.0879300431689665	"BCAP31"	"BCAP31"
"BHLHE40"	0.0731291066786653	0.000160243665466976	-3.84694697227413	0.485034757867947	-0.0920798237584147	"BHLHE40"	"BHLHE40"
"DR1"	0.0731291066786653	0.000160481624747833	3.84655648230494	0.483658924302541	0.0449206530708064	"DR1"	"DR1"
"NOP16"	0.0731291066786653	0.000165973023041077	3.83769433555454	0.452466796545313	0.0486686736025134	"NOP16"	"NOP16"
"ATP2B4"	0.0731291066786653	0.000166272495185176	3.8372190693283	0.450795750959484	0.0620397300436405	"ATP2B4"	"ATP2B4"
"PTPRR"	0.0735032418671176	0.000179443688907106	3.81707978232702	0.380149566065389	0.0579291339042862	"PTPRR"	"PTPRR"
"CAB39"	0.0735032418671176	0.000179502653822856	-3.81699281281672	0.379845182756469	-0.069677039145732	"CAB39"	"CAB39"
"CAPN2"	0.0816557083746346	0.000209003337551803	-3.77655060428968	0.238951388500971	-0.070480804259708	"CAPN2"	"CAPN2"
"SPRY2"	0.0816557083746346	0.000215214639093574	-3.76872896767856	0.211851947214914	-0.0991066583973963	"SPRY2"	"SPRY2"
"RASA1"	0.0816557083746346	0.000220040645725331	-3.76279782133888	0.191334880747811	-0.0672453596259541	"RASA1"	"RASA1"
"PLXNA2"	0.0817815145102033	0.000233078850555551	-3.74736865627217	0.138093398093236	-0.0581827432402669	"PLXNA2"	"PLXNA2"
"DPY19L1"	0.0817815145102033	0.000234153388913424	-3.74613372442217	0.133840213150489	-0.0947357059671132	"DPY19L1"	"DPY19L1"
"EIF4A2"	0.0833675019527487	0.000251042366905359	-3.72739676102833	0.0694581991275802	-0.094139336479806	"EIF4A2"	"EIF4A2"
"PPP2CA"	0.0833675019527487	0.000252735163814649	-3.72558493171143	0.063247444507712	-0.0762008538009087	"PPP2CA"	"PPP2CA"
"FNBP4"	0.0847088536409297	0.000263934954502265	-3.71387873212173	0.0231831207565332	-0.0783972602670335	"FNBP4"	"FNBP4"
