rowname	logFC	AveExpr	t	P.Value	adj.P.Val	B
CCDC26	-2.13250535763539	0.51921746744077	-46.9373532537046	1.74657205993076e-05	0.0624373121996538	3.1146923344266
AC104452.1	2.71281052707496	2.24177105034929	42.4733184722289	2.37224329113295e-05	0.0624373121996538	3.01404056360907
BAGE2	-1.75301259292661	0.122740849054708	-38.6705050123813	3.16177535693752e-05	0.0624373121996538	2.90522667421128
AC244197.3	2.09515237143589	3.16966847950632	35.635056103263	4.06107003468657e-05	0.0624373121996538	2.79815207071207
SNORD48	-1.54544891858705	0.68158439054751	-33.8095384584312	4.77039065731146e-05	0.0624373121996538	2.72291469800784
AC005324.4	-1.74358168236362	0.740919085233641	-32.1537362211581	5.56286281801349e-05	0.0624373121996538	2.64625731481089
AL161891.1	-1.27076845060282	0.232335839506859	-28.284832834797	8.23433105766413e-05	0.0624373121996538	2.42848626462009
AL022397.1	1.24875768249811	-0.151564857313612	27.7837808692988	8.69690678684953e-05	0.0624373121996538	2.3955571381219
WNT2B	1.40424274017151	2.95862955025884	27.6331707757468	8.84265968393189e-05	0.0624373121996538	2.38541693441014
AC010327.4	-1.58107454214321	-0.236548192298194	-27.4225064332182	9.05200943457629e-05	0.0624373121996538	2.37104061234357
AL121900.2	1.27332543039231	1.14453639671211	27.1404895624456	9.34267186364251e-05	0.0624373121996538	2.35143585869606
AC016831.7	1.33005813020577	4.32631195116916	27.1062538105566	9.37879462589889e-05	0.0624373121996538	2.34902746881754
LINC01422	-1.17471164071669	0.997043180644358	-25.6739210477819	0.000110717333514297	0.0624373121996538	2.24243190106552
RNU5E-1	-1.17007121158341	3.20827212174155	-25.5778963897625	0.000111992509228036	0.0624373121996538	2.23485724471104
SOX18	1.35593549088652	1.10092660653582	25.391690343093	0.000114521251036977	0.0624373121996538	2.22000688660683
SETP11	1.15184508845439	0.751653717130099	25.3033960273673	0.000115746776790342	0.0624373121996538	2.2128896126852
HAR1B	1.31010908846563	0.989255114206351	25.0666719321231	0.000119119400171302	0.0624373121996538	2.19356363522872
AF131216.4	-1.17134449112324	1.03556647677252	-24.9796834959634	0.000120391417238302	0.0624373121996538	2.18637146076182
HNRNPA1P11	1.70106673643936	0.205067020235768	24.8439247223866	0.000122412793373803	0.0624373121996538	2.17504831720207
MIR155HG	-1.10958521836796	-0.232330650655399	-24.7024660483688	0.000124567148646391	0.0624373121996538	2.16312030147498
AC139256.1	1.10273412438194	0.0179150460656827	24.5683616480379	0.000126656120436465	0.0624373121996538	2.15168875554374
AC007608.3	-1.31248360945345	0.067722704728576	-24.4231800414717	0.000128970283992413	0.0624373121996538	2.13917538600957
C17orf107	1.8395246068319	2.73617419760941	24.3751896132303	0.000129747548640425	0.0624373121996538	2.13500724458808
LPIN3	1.46647406749071	1.50978100383542	23.8379788446485	0.000138887468301218	0.0624373121996538	2.08724405356796
LINC02073	-1.09381776976007	0.373331052879607	-23.4652352847268	0.00014573595832337	0.0624373121996538	2.05287331682345
RNA5SP335	-1.26848900318888	0.576905106076049	-23.4393193122522	0.000146228598183349	0.0624373121996538	2.05044494328806
EEF1A1P12	-1.199206592625	-0.168411460245267	-23.4039798436148	0.000146903931385094	0.0624373121996538	2.04712535290861
DUSP9	1.06111780236847	0.503309619272901	23.3408025315395	0.000148121572808816	0.0624373121996538	2.04116710456679
AC008833.1	-1.05784690484083	0.0122807753200078	-23.2929758313862	0.000149052260334306	0.0624373121996538	2.03663623215509
AC116407.4	1.08113319658347	0.137339632091785	23.2917313261197	0.00014907658114374	0.0624373121996538	2.0365180988388
AC234917.3	-1.05055130832826	0.315349242867172	-23.2737209133483	0.000149429139784491	0.0624373121996538	2.03480714324776
TMIGD2	-1.36043083359114	-0.108899262044331	-23.2587628474535	0.000149722787856109	0.0624373121996538	2.03338425197525
ASB14	1.05708412472517	1.26043156573582	23.1028540242169	0.000152829497460038	0.0624373121996538	2.01844991590071
FREM3	-1.18830668916056	3.86067299259543	-23.0915586562272	0.000153057878391698	0.0624373121996538	2.01736056519922
IL10RB-DT	-1.40465372594216	0.440287843599148	-22.999118377265	0.000154944023693357	0.0624373121996538	2.0084076165441
AC244197.2	1.05931120354965	2.27318885786247	22.7492252049568	0.000160199348251717	0.0624373121996538	1.98386387891063
ARID3C	-1.06290070806277	0.642356078727325	-22.4958576794578	0.000165771506295466	0.0624373121996538	1.95845976438389
AC034111.2	-1.13491790431976	-0.443733954911505	-22.4037406821049	0.00016786095364286	0.0624373121996538	1.94909134568117
