gene_id,old_1,old_2,young_1,young_2
ENSG00000244171.4|PBX2P1,11,18,16,8
ENSG00000186130.5|ZBTB6,412,169,182,186
ENSG00000141736.13|ERBB2,436,127,191,111
ENSG00000268324.2|LRRC2-AS1,8,11,12,7
ENSG00000115286.20|NDUFS7,1556,1071,1132,727
ENSG00000273350.1|AC004832.5,29,6,13,4
ENSG00000214428.3|NPM1P10,0,0,10,4
ENSG00000121691.7|CAT,610,370,363,345
ENSG00000159322.17|ADPGK,548,380,345,274
ENSG00000257509.1|AC073487.1,11,4,9,2
ENSG00000213279.2|Z97192.2,6,8,8,3
ENSG00000234066.1|TAS2R62P,0,0,0,0
ENSG00000223721.3|UQCRFS1P2,0,0,0,0
ENSG00000206804.1|RNU6-1293P,0,0,0,2
ENSG00000111880.16|RNGTT,921,565,545,475
ENSG00000010404.18|IDS,32197,19342,14209,17441
ENSG00000168309.18|FAM107A,15066,7950,7336,6355
ENSG00000274751.1|AC120498.9,3,10,21,7
ENSG00000287965.1|AC018557.3,15,11,16,8
ENSG00000267342.1|AC087289.3,14,0,7,0
ENSG00000231274.5|SBK3,0,0,0,0
ENSG00000273424.1|AL008582.1,1,4,5,1
ENSG00000250056.7|LINC01018,321,268,138,105
ENSG00000270131.1|AP003465.2,0,0,0,4
ENSG00000243976.2|RN7SL523P,1,1,0,1
ENSG00000145808.10|ADAMTS19,299,218,203,178
ENSG00000227854.1|AL590135.1,1,1,0,1
ENSG00000260439.1|LMF1-AS1,27,36,37,17
ENSG00000169905.12|TOR1AIP2,2504,1296,1006,993
ENSG00000170485.17|NPAS2,3461,1386,1067,1116
ENSG00000279000.3|OR10A6,0,2,9,1
ENSG00000230516.1|AL589642.2,0,0,0,0
ENSG00000271466.1|CICP24,0,2,4,0
ENSG00000286108.1|AL359916.1,15,8,18,0
ENSG00000259061.1|AL358292.1,0,0,0,0
ENSG00000237734.1|AL163192.1,9,0,2,0
ENSG00000216866.5|RPS2P55,39,28,22,39
ENSG00000278948.1|AL031587.5,93,41,101,46
ENSG00000227078.1|LINC02094,8,0,5,7
ENSG00000236396.8|SLC35G4,0,0,0,2
ENSG00000187984.12|ANKRD19P,524,392,306,201
ENSG00000228336.2|OR9H1P,2,2,17,1
